From_Date,To_Date
07/19/2022,07/29/2022

CourierId,VoucherNum,Courier_type,pieces,PickupId,VoucherNum2,pAddr1,Paddr21,City_State,Pu_Tm,VoucherNum3,dAddr1,Paddr22,Dcity_Dstate,Del_Tm,Textbox37,Total_Amount
34769 -  AUTOMATION COURIER,,,,,,,,,,,,,,,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32445097 / 07/26/2022,PU,PCS : 10     WT : 50.00,PU#   3450331,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 7/26/2022 08:14,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 7/26/2022 09:25,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32447184 / 07/27/2022,PU,PCS : 10     WT : 50.00,PU#   3452418,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : ,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : ,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32436378 / 07/20/2022,PU,PCS : 1     WT : 20.00,PU#   3441612,AUTOMATION RV (F5505),304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 7/20/2022 08:20,AUTOMATION SPL RV,2074 PAUL WAYNE HAGGERTY ROAD,,"METAIRIE, LA 70001",DEL TM : 7/20/2022 08:22,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32436363 / 07/20/2022,PU,PCS : 2     WT : 20.00,PU#   3441597,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/20/2022 07:39,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/20/2022 08:41,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32445101 / 07/25/2022,PU,PCS : 2     WT : 20.00,PU#   3450335,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/26/2022 07:09,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/26/2022 08:11,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32445139 / 07/26/2022,PU,PCS : 1     WT : 20.00,PU#   3450373,AUTOMATION RV (F5505),304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 7/26/2022 06:07,AUTOMATION SPL RV,2074 PAUL WAYNE HAGGERTY ROAD,,"METAIRIE, LA 70001",DEL TM : 7/26/2022 06:08,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32447185 / 07/26/2022,PU,PCS : 2     WT : 20.00,PU#   3452419,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : ,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : ,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32449026 / 07/27/2022,PU,PCS : 1     WT : 20.00,PU#   3454260,AUTOMATION RV (F5505),304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,AUTOMATION SPL RV,2074 PAUL WAYNE HAGGERTY ROAD,,"METAIRIE, LA 70001",DEL TM : ,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32445098 / 07/25/2022,PU,PCS : 1     WT : 20.00,PU#   3450332,AUTOMATION RV,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 7/26/2022 08:36,FedEx Ship Center,12606 Fuqua St,,"HOUSTON, TX 77034",DEL TM : 7/26/2022 09:39,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,32447181 / 07/26/2022,PU,PCS : 1     WT : 20.00,PU#   3452415,AUTOMATION RV,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,FedEx Ship Center,12606 Fuqua St,,"HOUSTON, TX 77034",DEL TM : ,,           TotalShipment : 10        Total PCS : 31        Total WT :  260      
,,,,,,,,,,,,,,,           Shipment : 10        SubTotal PCS : 31        SubTotal WT :  260      ,           TotalShipment : 10        Total PCS : 31        Total WT :  260      

