From_Date,To_Date
08/15/2023,08/25/2023

CourierId,VoucherNum,Courier_type,pieces,PickupId,VoucherNum2,pAddr1,Paddr21,City_State,Pu_Tm,VoucherNum3,dAddr1,Paddr22,Dcity_Dstate,Del_Tm,Textbox37,Total_Amount
34769 -  PACIFIC COAST LOGISTIX,,,,,,,,,,,,,,,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417094 / 08/16/2023,PU,PCS : 1     WT : 10.00,PU#   10235107,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/16/2023 09:24,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/16/2023 09:26,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417096 / 08/16/2023,PU,PCS : 1     WT : 10.00,PU#   10235109,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/16/2023 09:46,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/16/2023 09:48,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417103 / 08/16/2023,PU,PCS : 1     WT : 10.00,PU#   10235116,ALLEGHENY PERFORMANCE PLASTICS,3 AVE A,,"LEETSDALE, PA 15056",PU TM : 8/16/2023 10:26,PITTSBURGH (PIT),NULL,,"PITTSBURGH, PA 15231",DEL TM : 8/16/2023 10:29,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417104 / 08/16/2023,PU,PCS : 1     WT : 10.00,PU#   10235117,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/16/2023 10:46,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/16/2023 10:48,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426340 / 08/21/2023,PU,PCS : 1     WT : 10.00,PU#   10244341,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/22/2023 00:02,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/22/2023 00:05,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426431 / 08/22/2023,PU,PCS : 1     WT : 10.00,PU#   10244432,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/22/2023 00:25,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/22/2023 00:28,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426703 / 08/22/2023,PU,PCS : 1     WT : 10.00,PU#   10244704,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/22/2023 04:48,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/22/2023 04:51,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426816 / 08/22/2023,PU,PCS : 1     WT : 10.00,PU#   10244817,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/22/2023 05:22,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/22/2023 05:24,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426855 / 08/22/2023,PU,PCS : 1     WT : 10.00,PU#   10244856,ALLEGHENY PERFORMANCE PLASTICS,3 AVE A,,"LEETSDALE, PA 15056",PU TM : 8/22/2023 06:01,PITTSBURGH (PIT),NULL,,"PITTSBURGH, PA 15231",DEL TM : 8/22/2023 06:04,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426891 / 08/22/2023,PU,PCS : 1     WT : 10.00,PU#   10244892,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/22/2023 06:32,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/22/2023 06:35,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33429382 / 08/23/2023,PU,PCS : 1     WT : 10.00,PU#   10247383,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/23/2023 06:27,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/23/2023 06:30,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33429406 / 08/23/2023,PU,PCS : 1     WT : 10.00,PU#   10247407,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/23/2023 06:48,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/23/2023 06:51,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33429474 / 08/23/2023,PU,PCS : 1     WT : 10.00,PU#   10247475,ALLEGHENY PERFORMANCE PLASTICS,3 AVE A,,"LEETSDALE, PA 15056",PU TM : 8/23/2023 07:31,PITTSBURGH (PIT),NULL,,"PITTSBURGH, PA 15231",DEL TM : 8/23/2023 07:34,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33429531 / 08/23/2023,PU,PCS : 1     WT : 10.00,PU#   10247532,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 8/23/2023 08:00,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 8/23/2023 08:03,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417094 / 08/16/2023,DL,PCS : 1     WT : 10.00,PU#   10235107,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/16/2023 08:34,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/16/2023 08:35,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417096 / 08/16/2023,DL,PCS : 1     WT : 10.00,PU#   10235109,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/16/2023 08:56,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/16/2023 08:57,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426431 / 08/22/2023,DL,PCS : 1     WT : 10.00,PU#   10244432,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/21/2023 23:34,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/21/2023 23:35,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426703 / 08/22/2023,DL,PCS : 1     WT : 10.00,PU#   10244704,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/22/2023 03:58,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/22/2023 03:59,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426816 / 08/22/2023,DL,PCS : 1     WT : 10.00,PU#   10244817,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/22/2023 04:31,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/22/2023 04:32,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33429382 / 08/23/2023,DL,PCS : 1     WT : 10.00,PU#   10247383,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/23/2023 05:37,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/23/2023 05:38,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33429531 / 08/23/2023,DL,PCS : 1     WT : 10.00,PU#   10247532,MEMPHIS (MEM),2491 Winchester Rd # 113,,"MEMPHIS, TN 38116",PU TM : 8/23/2023 07:11,OXFORD LAB,5846 DISTRIBUTION DRIVE,,"MEMPHIS, TN 38141",DEL TM : 8/23/2023 07:12,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33415993 / 08/15/2023,PU,PCS : 1     WT : 24.00,PU#   10234006,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : ,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33416400 / 08/15/2023,PU,PCS : 1     WT : 24.00,PU#   10234413,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 8/15/2023 23:49,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : 8/15/2023 23:52,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33416404 / 08/15/2023,PU,PCS : 1     WT : 24.00,PU#   10234417,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : ,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417093 / 08/16/2023,PU,PCS : 1     WT : 24.00,PU#   10235106,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 8/16/2023 08:10,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : 8/16/2023 08:13,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417101 / 08/16/2023,PU,PCS : 1     WT : 50.00,PU#   10235114,PORT PLASTICS,550 E. TRIMBLE ROAD #A,,"SAN JOSE, CA 95131",PU TM : 8/16/2023 07:05,ALPHA MACHINE,933 CHITTENDEN LANE,,"CAPITOLA, CA 95010",DEL TM : 8/16/2023 07:14,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417133 / 08/16/2023,PU,PCS : 1     WT : 24.00,PU#   10235146,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : ,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33417160 / 08/17/2023,PU,PCS : 1     WT : 24.00,PU#   10235173,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : ,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33424554 / 08/21/2023,PU,PCS : 1     WT : 24.00,PU#   10242555,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 8/21/2023 06:55,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : 8/21/2023 06:56,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33425280 / 08/21/2023,PU,PCS : 1     WT : 24.00,PU#   10243281,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : ,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426321 / 08/21/2023,PU,PCS : 1     WT : 24.00,PU#   10244322,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 8/21/2023 22:48,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : 8/21/2023 22:51,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426441 / 08/21/2023,PU,PCS : 1     WT : 50.00,PU#   10244442,PORT PLASTICS,550 E. TRIMBLE ROAD #A,,"SAN JOSE, CA 95131",PU TM : 8/21/2023 21:43,ALPHA MACHINE,933 CHITTENDEN LANE,,"CAPITOLA, CA 95010",DEL TM : 8/21/2023 21:52,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426612 / 08/22/2023,PU,PCS : 1     WT : 24.00,PU#   10244613,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : ,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
,33426698 / 08/22/2023,PU,PCS : 1     WT : 24.00,PU#   10244699,NOTHING BUNDT CAKES,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 8/22/2023 03:34,"PARKHILL, PHYLLIS",2100 SPACE PARK DR.,,"CLEAR LAKE, TX 77058",DEL TM : 8/22/2023 03:37,,           TotalShipment : 57        Total PCS : 57        Total WT :  1312      
