From_Date,To_Date
05/28/2023,06/07/2023

CourierId,VoucherNum,Courier_type,pieces,PickupId,VoucherNum2,pAddr1,Paddr21,City_State,Pu_Tm,VoucherNum3,dAddr1,Paddr22,Dcity_Dstate,Del_Tm,Textbox37,Total_Amount
34769 -  PACIFIC COAST LOGISTIX,,,,,,,,,,,,,,,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33269914 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087964,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 11:32,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 11:33,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33270076 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10088126,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 12:57,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 12:59,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33270093 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10088143,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 13:14,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 13:16,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33270745 / 05/30/2023,PU,PCS : 1     WT : 10.00,PU#   10088795,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/30/2023 03:25,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/30/2023 03:27,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33270825 / 05/30/2023,PU,PCS : 1     WT : 10.00,PU#   10088875,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/30/2023 04:41,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/30/2023 04:43,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33270835 / 05/30/2023,PU,PCS : 1     WT : 10.00,PU#   10088885,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/30/2023 04:58,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/30/2023 05:00,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33273447 / 05/31/2023,PU,PCS : 1     WT : 10.00,PU#   10091497,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/31/2023 03:31,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/31/2023 03:33,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33273467 / 05/31/2023,PU,PCS : 1     WT : 10.00,PU#   10091517,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/31/2023 03:49,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/31/2023 03:50,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
,33273496 / 05/31/2023,PU,PCS : 1     WT : 10.00,PU#   10091546,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/31/2023 04:06,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/31/2023 04:08,,           TotalShipment : 94        Total PCS : 94        Total WT :  1883      
