From_Date,To_Date
05/21/2023,05/31/2023

CourierId,VoucherNum,Courier_type,pieces,PickupId,VoucherNum2,pAddr1,Paddr21,City_State,Pu_Tm,VoucherNum3,dAddr1,Paddr22,Dcity_Dstate,Del_Tm,Textbox37,Total_Amount
34769 -  PACIFIC COAST LOGISTIX,,,,,,,,,,,,,,,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33261493 / 05/24/2023,PU,PCS : 1     WT : 1.00,PU#   10079543,TEST PICKUP,123 MAIN ST,,"CHARLOTTE, NC 28208",PU TM : 5/24/2023 14:05,SAN FRANCISCO (SFO),Highway 101,,"SAN FRANCISCO, CA 94128",DEL TM : 5/24/2023 11:05,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33262878 / 05/25/2023,PU,PCS : 1     WT : 10.00,PU#   10080928,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : ,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : ,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33262943 / 05/25/2023,PU,PCS : 1     WT : 10.00,PU#   10080993,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : ,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : ,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33262873 / 05/25/2023,PU,PCS : 1     WT : 10.00,PU#   10080923,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : ,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : ,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33262933 / 05/25/2023,PU,PCS : 1     WT : 10.00,PU#   10080983,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : ,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : ,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33263270 / 05/25/2023,PU,PCS : 1     WT : 1.00,PU#   10081320,TEST PICKUP SFO,123 MAIN ST,,"SAN FRANCISCO, CA 94128",PU TM : 5/25/2023 06:25,SAN FRANCISCO (SFO),Highway 101,,"SAN FRANCISCO, CA 94128",DEL TM : 5/25/2023 06:26,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33268947 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10086997,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 01:58,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 02:00,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33268961 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087011,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 02:18,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 02:20,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269023 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087073,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : ,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : ,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269052 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087102,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 03:38,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 03:39,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269062 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087112,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 03:54,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 03:55,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269090 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087140,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 04:13,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 04:14,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269120 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087170,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 04:40,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 04:42,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269136 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087186,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 05:06,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 05:07,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269373 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087423,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 08:18,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 08:20,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269622 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087672,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 08:35,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 08:36,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269672 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087722,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 09:10,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 09:12,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269779 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087829,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 10:22,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 10:24,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269817 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087867,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 10:39,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 10:41,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269914 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087964,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 11:32,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 11:33,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33269933 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10087983,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 11:42,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 11:43,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33270076 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10088126,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 12:57,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 12:59,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
,33270093 / 05/29/2023,PU,PCS : 1     WT : 10.00,PU#   10088143,KAISER PERMANENTE NW REGIONAL LABORATORY,13705 NE AIRPORT WAY,,"MANHATTAN, NY 10036",PU TM : 5/29/2023 13:14,LAGUARDIA (LGA),LAGUARDIA AIRPORT,,"FLUSHING, NY 11371",DEL TM : 5/29/2023 13:16,,           TotalShipment : 52        Total PCS : 52        Total WT :  620      
